id,name,scientificName,family,category,subCategory,genus,species,sunlight,watering,difficulty,airPurifying,petSafe,description
money_plant,Money Plant,Epipremnum aureum,Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Popular trailing indoor foliage plant.
golden_pothos,Golden Pothos,Epipremnum aureum,Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Golden variegated pothos ideal for homes.
marble_queen_pothos,Marble Queen Pothos,Epipremnum aureum 'Marble Queen',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Cream-white variegated pothos.
neon_pothos,Neon Pothos,Epipremnum aureum 'Neon',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Bright lime green foliage.
njoy_pothos,N'Joy Pothos,Epipremnum aureum 'N'Joy',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Compact variegated pothos.
pearls_jade_pothos,Pearls and Jade Pothos,Epipremnum aureum 'Pearls and Jade',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Small variegated leaves.
manjula_pothos,Manjula Pothos,Epipremnum aureum 'Manjula',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Highly variegated pothos cultivar.
cebu_blue_pothos,Cebu Blue Pothos,Epipremnum pinnatum,Araceae,Indoor Plant,Climber,Epipremnum,pinnatum,Bright Indirect,Medium,Easy,Yes,No,Blue-green climbing foliage.
global_green_pothos,Global Green Pothos,Epipremnum aureum 'Global Green',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Green variegated pothos.
snow_queen_pothos,Snow Queen Pothos,Epipremnum aureum 'Snow Queen',Araceae,Indoor Plant,Foliage,Epipremnum,aureum,Bright Indirect,Medium,Easy,Yes,No,Mostly white variegated foliage.
snake_plant,Snake Plant,Dracaena trifasciata,Asparagaceae,Indoor Plant,Foliage,Dracaena,trifasciata,Low to Bright,Low,Easy,Yes,No,Drought tolerant air purifier.
